Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf1,Ethernet3,,spine,spine1,Ethernet3,
l3leaf,leaf1,Ethernet4,,spine,spine2,Ethernet3,
l3leaf,leaf2,Ethernet3,,spine,spine1,Ethernet4,
l3leaf,leaf2,Ethernet4,,spine,spine2,Ethernet4,
l3leaf,leaf3,Ethernet5,,spine,spine3,Ethernet5,
l3leaf,leaf3,Ethernet6,,spine,spine4,Ethernet5,
l3leaf,leaf4,Ethernet5,,spine,spine3,Ethernet6,
l3leaf,leaf4,Ethernet6,,spine,spine4,Ethernet6,
spine,spine1,Ethernet7,,super-spine,superspine1,Ethernet3,
spine,spine1,Ethernet8,,super-spine,superspine2,Ethernet3,
spine,spine2,Ethernet7,,super-spine,superspine1,Ethernet4,
spine,spine2,Ethernet8,,super-spine,superspine2,Ethernet4,
spine,spine3,Ethernet7,,super-spine,superspine1,Ethernet5,
spine,spine3,Ethernet8,,super-spine,superspine2,Ethernet5,
spine,spine4,Ethernet7,,super-spine,superspine1,Ethernet6,
spine,spine4,Ethernet8,,super-spine,superspine2,Ethernet6,
