Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,leaf1,Ethernet1,mlag_peer,leaf2,Ethernet1,True
l3leaf,leaf1,Ethernet2,mlag_peer,leaf2,Ethernet2,True
l3leaf,leaf1,Ethernet3,spine,spine1,Ethernet3,True
l3leaf,leaf1,Ethernet4,spine,spine2,Ethernet3,True
l3leaf,leaf1,Ethernet5,spine,spine3,Ethernet3,True
l3leaf,leaf1,Ethernet6,spine,spine4,Ethernet3,True
l3leaf,leaf1,Ethernet7,server,host1,Ethernet1,True
l3leaf,leaf1,Ethernet8,spine,spine6,Ethernet3,True
l3leaf,leaf2,Ethernet1,mlag_peer,leaf1,Ethernet1,True
l3leaf,leaf2,Ethernet2,mlag_peer,leaf1,Ethernet2,True
l3leaf,leaf2,Ethernet3,spine,spine1,Ethernet4,True
l3leaf,leaf2,Ethernet4,spine,spine2,Ethernet4,True
l3leaf,leaf2,Ethernet5,spine,spine3,Ethernet4,True
l3leaf,leaf2,Ethernet6,spine,spine4,Ethernet4,True
l3leaf,leaf2,Ethernet7,server,host1,Ethernet2,True
l3leaf,leaf2,Ethernet8,spine,spine6,Ethernet4,True
l3leaf,leaf3,Ethernet1,mlag_peer,leaf4,Ethernet1,True
l3leaf,leaf3,Ethernet2,mlag_peer,leaf4,Ethernet2,True
l3leaf,leaf3,Ethernet3,spine,spine1,Ethernet5,True
l3leaf,leaf3,Ethernet4,spine,spine2,Ethernet5,True
l3leaf,leaf3,Ethernet5,spine,spine3,Ethernet5,True
l3leaf,leaf3,Ethernet6,spine,spine4,Ethernet5,True
l3leaf,leaf3,Ethernet7,spine,spine5,Ethernet5,True
l3leaf,leaf3,Ethernet8,spine,spine6,Ethernet5,True
l3leaf,leaf4,Ethernet1,mlag_peer,leaf3,Ethernet1,True
l3leaf,leaf4,Ethernet2,mlag_peer,leaf3,Ethernet2,True
l3leaf,leaf4,Ethernet3,spine,spine1,Ethernet6,True
l3leaf,leaf4,Ethernet4,spine,spine2,Ethernet6,True
l3leaf,leaf4,Ethernet5,spine,spine3,Ethernet6,True
l3leaf,leaf4,Ethernet6,spine,spine4,Ethernet6,True
l3leaf,leaf4,Ethernet7,spine,spine5,Ethernet6,True
l3leaf,leaf4,Ethernet8,spine,spine6,Ethernet6,True
l3leaf,leaf5,Ethernet3,spine,spine1,Ethernet7,True
l3leaf,leaf5,Ethernet4,spine,spine2,Ethernet7,True
l3leaf,leaf5,Ethernet5,spine,spine3,Ethernet7,True
l3leaf,leaf5,Ethernet6,spine,spine4,Ethernet7,True
l3leaf,leaf5,Ethernet7,spine,spine5,Ethernet7,True
l3leaf,leaf5,Ethernet8,spine,spine6,Ethernet7,True
l3leaf,leaf6,Ethernet3,spine,spine1,Ethernet8,True
l3leaf,leaf6,Ethernet4,spine,spine2,Ethernet8,True
l3leaf,leaf6,Ethernet5,spine,spine3,Ethernet8,True
l3leaf,leaf6,Ethernet6,spine,spine4,Ethernet8,True
l3leaf,leaf6,Ethernet7,spine,spine5,Ethernet8,True
l3leaf,leaf6,Ethernet8,spine,spine6,Ethernet8,True
l3leaf,leaf7,Ethernet3,spine,spine1,Ethernet9,True
l3leaf,leaf7,Ethernet4,spine,spine2,Ethernet9,True
l3leaf,leaf7,Ethernet5,spine,spine3,Ethernet9,True
l3leaf,leaf7,Ethernet6,spine,spine4,Ethernet9,True
